s	t	w
id532	id533	1
id532	id478	0
id534	id263	1
id534	id535	1
id534	id187	0
id534	id125	0
id536	id537	1
id536	id407	1
id536	id538	0
id536	id539	0
id540	id162	1
id540	id541	0
id542	id543	1
id542	id478	1
id542	id544	0
id545	id546	1
id545	id547	1
id545	id548	0
id549	id550	1
id549	id551	1
id549	id552	0
id549	id553	0
id554	id555	1
id554	id556	1
id554	id557	0
id554	id257	0
id558	id559	1
id558	id560	0
id558	id561	0
id562	id563	1
id562	id564	0
id565	id539	1
id565	id566	0
id565	id222	0
id567	id568	1
id567	id569	1
id567	id183	0
